[2026-01-18 20:46:57] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:58] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:59] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:01] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:02] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:03] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:04] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:05] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:06] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:07] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:08] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:09] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:10] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:11] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:12] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:13] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:14] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:15] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:16] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:17] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:18] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:19] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:20] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:21] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:22] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:23] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:47:24] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
