[2026-01-18 15:11:29] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:30] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:31] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:32] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:33] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:34] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:35] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:36] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:37] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:38] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:39] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:41] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:42] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:11:43] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
